#ID	gene_id
gp_0001	ENSG00000186111
gp_0002	ENSG00000084444
gp_0003	ENSG00000084444
gp_0004	ENSG00000084444
gp_0006	ENSG00000204347
gp_0007	ENSG00000204347
gp_0008	ENSG00000204347
gp_0009	ENSG00000204347
gp_0010	ENSG00000204347
gp_0011	ENSG00000204347
gp_0012	ENSG00000204347
gp_0016	ENSG00000161682
gp_0017	ENSG00000161682
gp_0018	ENSG00000161682
gp_0019	ENSG00000161682
gp_0020	ENSG00000161682
gp_0021	ENSG00000237515
gp_0022	ENSG00000237515
gp_0023	ENSG00000237515
gp_0025	ENSG00000254709
gp_0026	ENSG00000254709
gp_0027	ENSG00000211677
gp_0028	ENSG00000211677
gp_0029	ENSG00000261115
gp_0030	ENSG00000261115
gp_0031	ENSG00000261115
gp_0032	ENSG00000261115
gp_0033	ENSG00000244734
gp_0034	ENSG00000244734
gp_0035	ENSG00000244734
gp_0036	ENSG00000244734
gp_0037	ENSG00000244734
gp_0038	ENSG00000244734
gp_0039	ENSG00000244734
gp_0040	ENSG00000244734
gp_0041	ENSG00000105612
gp_0042	ENSG00000105612
gp_0043	ENSG00000105612
gp_0044	ENSG00000105612
gp_0045	ENSG00000123136
gp_0046	ENSG00000097021
gp_0047	ENSG00000110435
gp_0048	ENSG00000110435
gp_0049	ENSG00000087470
gp_0050	ENSG00000137996
gp_0051	ENSG00000168546
gp_0052	ENSG00000168546
gp_0053	ENSG00000168546
gp_0054	ENSG00000168546
gp_0055	ENSG00000188157
gp_0056	ENSG00000188157
gp_0057	ENSG00000111801
gp_0058	ENSG00000111801
gp_0059	ENSG00000111801
gp_0060	ENSG00000136717
gp_0061	ENSG00000136717
gp_0062	ENSG00000134121
gp_0063	ENSG00000134121
gp_0064	ENSG00000134121
gp_0065	ENSG00000134121
gp_0066	ENSG00000134121
gp_0067	ENSG00000134121
gp_0068	ENSG00000134121
gp_0069	ENSG00000134121
gp_0070	ENSG00000134121
gp_0071	ENSG00000134121
gp_0072	ENSG00000134121
gp_0073	ENSG00000134121
gp_0074	ENSG00000134121
gp_0075	ENSG00000134121
gp_0076	ENSG00000134121
gp_0077	ENSG00000134121
gp_0078	ENSG00000134121
gp_0079	ENSG00000134121
gp_0080	ENSG00000134121
gp_0081	ENSG00000134121
gp_0082	ENSG00000134121
gp_0083	ENSG00000134121
gp_0084	ENSG00000134121
gp_0085	ENSG00000134121
gp_0086	ENSG00000134121
gp_0087	ENSG00000134121
gp_0088	ENSG00000134121
gp_0089	ENSG00000134121
gp_0090	ENSG00000134121
gp_0091	ENSG00000134121
gp_0092	ENSG00000134121
gp_0093	ENSG00000134121
gp_0094	ENSG00000134121
gp_0095	ENSG00000134121
gp_0096	ENSG00000134121
gp_0097	ENSG00000134121
gp_0098	ENSG00000134121
gp_0099	ENSG00000134121
gp_0100	ENSG00000026297
gp_0101	ENSG00000026297
gp_0102	ENSG00000026297
gp_0103	ENSG00000026297
gp_0104	ENSG00000026297
gp_0105	ENSG00000026297
gp_0106	ENSG00000104774
gp_0107	ENSG00000104774
gp_0108	ENSG00000129009
gp_0109	ENSG00000181790
gp_0110	ENSG00000196090
gp_0111	ENSG00000196090
gp_0112	ENSG00000196090
gp_0113	ENSG00000196090
gp_0114	ENSG00000196090
gp_0115	ENSG00000196090
gp_0116	ENSG00000152092
gp_0117	ENSG00000151640
gp_0118	ENSG00000004779
gp_0119	ENSG00000004779
gp_0120	ENSG00000130287
gp_0121	ENSG00000130287
gp_0122	ENSG00000130287
gp_0123	ENSG00000130287
gp_0124	ENSG00000130287
gp_0125	ENSG00000130287
gp_0126	ENSG00000130287
gp_0127	ENSG00000130287
gp_0128	ENSG00000130287
gp_0129	ENSG00000130287
gp_0130	ENSG00000130287
gp_0131	ENSG00000130287
gp_0132	ENSG00000130287
gp_0133	ENSG00000130287
gp_0134	ENSG00000130287
gp_0135	ENSG00000130287
gp_0136	ENSG00000130287
gp_0137	ENSG00000130287
gp_0138	ENSG00000130287
gp_0139	ENSG00000130287
gp_0140	ENSG00000130287
gp_0141	ENSG00000130287
gp_0142	ENSG00000130287
gp_0143	ENSG00000130287
gp_0144	ENSG00000130287
gp_0145	ENSG00000130287
gp_0146	ENSG00000130287
gp_0147	ENSG00000137845
gp_0148	ENSG00000137845
gp_0149	ENSG00000137845
gp_0150	ENSG00000137845
gp_0151	ENSG00000137845
gp_0152	ENSG00000137845
gp_0153	ENSG00000137845
gp_0154	ENSG00000137845
gp_0155	ENSG00000137845
gp_0156	ENSG00000137845
gp_0157	ENSG00000137845
gp_0158	ENSG00000137845
gp_0159	ENSG00000137845
gp_0160	ENSG00000166340
gp_0161	ENSG00000166340
gp_0162	ENSG00000166340
gp_0163	ENSG00000166340
gp_0164	ENSG00000166340
gp_0165	ENSG00000166340
gp_0166	ENSG00000166340
gp_0167	ENSG00000166340
gp_0168	ENSG00000166340
gp_0169	ENSG00000166340
gp_0170	ENSG00000166340
gp_0171	ENSG00000166340
gp_0172	ENSG00000166340
gp_0173	ENSG00000166340
gp_0174	ENSG00000166340
gp_0175	ENSG00000166340
gp_0176	ENSG00000166340
gp_0177	ENSG00000166340
gp_0178	ENSG00000166340
gp_0179	ENSG00000166340
gp_0180	ENSG00000166340
gp_0181	ENSG00000166340
gp_0182	ENSG00000166340
