cohort	context	analysis_name
KNIGHT	Knight_pQTL_brain,Knight_eQTL_brain	KNIGHT_pQTL
MiGA	MiGA_GFM_eQTL,MiGA_GTS_eQTL,MiGA_SVZ_eQTL,MiGA_THA_eQTL	MiGA_eQTL
MSBB	BM_10_MSBB_eQTL,BM_22_MSBB_eQTL,BM_36_MSBB_eQTL,BM_44_MSBB_eQTL	MSBB_eQTL
MSBB	MSBB_BM36_pQTL	MSBB_pQTL
MSBB	MSBB_BM10_sQTL_intron,MSBB_BM22_sQTL_intron,MSBB_BM36_sQTL_intron,MSBB_BM44_sQTL_intron,MSBB_BM10_PSI,MSBB_BM22_PSI,MSBB_BM36_PSI,MSBB_BM44_PSI	MSBB_sQTL
ROSMAP	Mic_DeJager_eQTL,Ast_DeJager_eQTL,Oli_DeJager_eQTL,OPC_DeJager_eQTL,Exc_DeJager_eQTL,Inh_DeJager_eQTL,DLPFC_DeJager_eQTL,PCC_DeJager_eQTL,AC_DeJager_eQTL	ROSMAP_DeJager_eQTL
ROSMAP	Mic_Kellis_eQTL,Ast_Kellis_eQTL,Oli_Kellis_eQTL,OPC_Kellis_eQTL,Exc_Kellis_eQTL,Inh_Kellis_eQTL,Ast_10_Kellis_eQTL,Mic_12_Kellis_eQTL,Mic_13_Kellis_eQTL	ROSMAP_Kellis_eQTL
ROSMAP	Mic_mega_eQTL,Ast_mega_eQTL,Oli_mega_eQTL,OPC_mega_eQTL,Exc_mega_eQTL,Inh_mega_eQTL	ROSMAP_mega_eQTL
ROSMAP	DLPFC_Bennett_pQTL,DLPFC_Klein_gpQTL_unadjusted,DLPFC_Klein_gpQTL_adjusted,monocyte_ROSMAP_eQTL	ROSMAP_Bennett_Klein_pQTL
ROSMAP	ROSMAP_AC_sQTL_intron,ROSMAP_DLPFC_sQTL_intron,ROSMAP_PCC_sQTL_intron,ROSMAP_AC_sQTL_PSI,ROSMAP_DLPFC_sQTL_PSI,ROSMAP_PCC_sQTL_PSI,ROSMAP_AC_sQTL_intron_unproductive,ROSMAP_DLPFC_sQTL_intron_unproductive,ROSMAP_PCC_sQTL_intron_unproductive	ROSMAP_sQTL
STARNET	STARNET_eQTL_Mac	STARNET_eQTL
MSBB	MSBB_mQTL	MSBB_mQTL
ROSMAP	ROSMAP_DLPFC_haQTL	ROSMAP_haQTL
ROSMAP	ROSMAP_DLPFC_mQTL	ROSMAP_mQTL
ROSMAP	ROSMAP_metabolome	ROSMAP_metaQTL
ROSMAP	ROSMAP_Astrocyte_snATACQTL	Astrocyte
ROSMAP	ROSMAP_Endothelial_snATACQTL	Endothelial
ROSMAP	ROSMAP_Excitatory_snATACQTL	Excitatory
ROSMAP	ROSMAP_Inhibitary_snATACQTL	Inhibitary
ROSMAP	ROSMAP_Microglia_snATACQTL	Microglia
ROSMAP	ROSMAP_Oligodendrocytes_snATACQTL	Oligodendrocytes
ROSMAP	ROSMAP_OPCs_snATACQTL	OPCs
KNIGHT	KnightADRC_mQTL	KnightADRC_mQTL
Metabrain	Metabrain_Basalganglia,Metabrain_Cerebellum,Metabrain_Cortex,Metabrain_Hippocampus,Metabrain_Spinalcord	RSS_QC_RAISS_imputed
ADGWAS	AD_Bellenguez_2022,AD_Jansen_2021,AD_Kunkle_Stage1_2019,AD_Wightman_Full_2021,AD_Wightman_Excluding23andMe_2021,AD_Wightman_ExcludingUKBand23andME_2021,AD_Bellenguez_EADB_2022,AD_Bellenguez_EADI_2022	RSS_QC_RAISS_imputed
