#chr,start,end,gene_id,gene_name,alternative_transctipt
chr1,1020119,1020120,ENSG00000188157,AGRN,0
chr1,8879189,8879190,ENSG00000074800,ENO1,0
chr1,11806454,11806455,ENSG00000177000,MTHFR,0
chr1,17054031,17054032,ENSG00000117118,SDHB,0
chr1,17119450,17119451,ENSG00000117115,PADI2,0
chr1,19664874,19664875,ENSG00000158748,HTR6,0
chr1,40097259,40097260,ENSG00000131238,PPT1,0
chr1,45542731,45542732,ENSG00000117450,PRDX1,0
chr1,46394316,46394317,ENSG00000117480,FAAH,0
chr1,46616842,46616843,ENSG00000079277,MKNK1,0
chr1,51577178,51577179,ENSG00000117859,OSBPL9,0
chr1,51878936,51878937,ENSG00000078618,NRDC,0
chr1,52927211,52927212,ENSG00000121310,ECHDC2,0
chr1,52927275,52927276,ENSG00000116171,SCP2,0
chr1,58784047,58784048,ENSG00000177606,JUN,0
chr1,66533382,66533383,ENSG00000118473,SGIP1,0
chr1,101996925,101996926,ENSG00000118733,OLFM3,0
chr1,109397917,109397918,ENSG00000134243,SORT1,0
chr1,119648410,119648411,ENSG00000092621,PHGDH,0
chr1,150269579,150269580,ENSG00000117362,APH1A,0
chr1,152047906,152047907,ENSG00000163191,S100A11,0
chr1,153536243,153536244,ENSG00000197956,S100A6,0
chr1,154567777,154567778,ENSG00000160716,CHRNB2,0
chr1,154956122,154956123,ENSG00000163346,PBXIP1,0
chr1,156082572,156082573,ENSG00000160789,LMNA,0
chr1,156815639,156815640,ENSG00000198400,NTRK1,0
chr1,160343315,160343316,ENSG00000162736,NCSTN,0
chr1,161118054,161118055,ENSG00000143256,PFDN2,0
chr1,161118085,161118086,ENSG00000158793,NIT1,0
chr1,161159449,161159450,ENSG00000143258,USP21,0
chr1,161166055,161166056,ENSG00000143224,PPOX,0
chr1,161197103,161197104,ENSG00000158864,NDUFS2,0
chr1,161199053,161199054,ENSG00000158859,ADAMTS4,0
chr1,161215233,161215234,ENSG00000158869,FCER1G,0
chr1,161223630,161223631,ENSG00000158874,APOA2,0
chr1,171841497,171841498,ENSG00000197959,DNM3,0
chr1,173477329,173477330,ENSG00000117592,PRDX6,0
